time,open,high,low,close,Volume,Volume MA
917879400,9358.83,9611.33,9099.04,9306.58,NaN,NaN
920298600,9306.58,10085.31,9211.23,9786.16,NaN,NaN
922977000,9786.16,10961.71,9765.63,10789.04,NaN,NaN
925738200,11014.69,11130.67,10434.26,10559.74,NaN,NaN
928243800,10559.74,11003.41,10409.14,10970.8,NaN,NaN
930835800,10970.8,11252.27,10647.86,10655.15,NaN,NaN
933600600,10655.15,11365.93,10549.08,10829.28,NaN,NaN
936192600,10829.28,11142.41,10081.13,10336.95,NaN,NaN
938784600,10335.69,10790.02,9976.02,10731.76,NaN,NaN
941466600,10695.61,11112.77,10536.27,10877.81,NaN,NaN
944058600,10875.44,11568.77,10859.65,11497.12,NaN,NaN
946909800,11494.71,11750.28,10701.64,10940.53,NaN,NaN
949415400,10952.32,11118.93,9836.06,10128.31,NaN,NaN
951921000,10163.99,11234.65,9731.81,10921.92,NaN,NaN
954768600,10921.92,11425.45,10201.53,10733.91,NaN,NaN
957187800,10733.91,10971.24,10258.81,10522.33,NaN,NaN
959866200,10549.74,10863,10335.46,10447.89,NaN,NaN
962631000,10434.81,10874.63,10393.09,10521.98,NaN,NaN
965136600,10521.98,11319.06,10516.76,11215.1,NaN,NaN
967815000,11276.51,11401.19,10567.32,10650.92,NaN,NaN
970493400,10682.37,10995.41,9654.64,10971.14,NaN,NaN
973089000,10917.3,11006.5,10292.39,10414.49,NaN,NaN
975681000,10448.62,10917.68,10299.21,10787.99,NaN,NaN
978445800,10703.08,11028,10468.04,10887.36,NaN,NaN
981037800,10892.97,11035.14,10294.01,10495.28,NaN,NaN
983457000,10440.18,10859.5,9106.54,9878.78,NaN,NaN
986218200,9877.16,10906.41,9375.72,10734.97,NaN,NaN
988723800,10734.05,11350.05,10673.22,10911.94,NaN,NaN
991402200,10913.57,11196.53,10394.72,10502.4,NaN,NaN
994080600,10504.95,10679.12,10120.89,10522.81,NaN,NaN
996672600,10527.38,10609.65,9869.14,9949.75,NaN,NaN
999610200,9946.98,10182.38,8062.34,8847.56,NaN,NaN
1001943000,8845.97,9598.17,8732.14,9075.14,NaN,NaN
1004625000,9087.45,9992.79,9014.46,9851.56,NaN,NaN
1007389800,9848.93,10184.45,9703.9,10021.5,NaN,NaN
1009981800,10021.71,10300.15,9529.46,9920,NaN,NaN
1012573800,9923.04,10255.24,9580.32,10106.13,NaN,NaN
1014993000,10111.04,10673.1,10111.04,10403.94,NaN,NaN
1017671400,10402.07,10402.07,9811.57,9946.22,NaN,NaN
1020259800,9944.9,10353.43,9802.23,9925.25,NaN,NaN
1023111000,9923.94,9986.49,8926.57,9243.26,NaN,NaN
1025530200,9239.25,9410.38,7532.66,8736.59,NaN,NaN
1028208600,8732.58,9077.01,8030.82,8663.5,NaN,NaN
1031059800,8659.27,8726.9,7460.78,7591.93,NaN,NaN
1033479000,7593.04,8558.63,7197.49,8397.03,NaN,NaN
1036161000,8395.64,8950.33,8298.68,8896.09,NaN,NaN
1038839400,8902.95,9043.37,8242.91,8341.63,NaN,NaN
1041517800,8342.38,8869.29,7917.16,8053.81,NaN,NaN
1044282600,8053.74,8152.53,7628.99,7891.08,NaN,NaN
1046701800,7890.24,8522.18,7416.64,7992.13,NaN,NaN
1049207400,7992.83,8559.77,7979.69,8480.09,NaN,NaN
1051795800,8478.48,8868.33,8340.23,8850.26,NaN,NaN
1054560600,8851.45,9352.77,8851.45,8985.44,NaN,NaN
1057066200,8983.66,9361.4,8871.2,9233.8,NaN,NaN
1059744600,9232.68,9499.97,8997.11,9415.82,NaN,NaN
1062509400,9416.67,9686.08,9230.47,9275.06,NaN,NaN
1065015000,9276.8,9850.01,9276.8,9801.12,NaN,NaN
1067869800,9802.46,9903.57,9585.5,9782.46,NaN,NaN
1070289000,9785.35,10462.44,9785.35,10453.92,NaN,NaN
1073053800,10452.74,10705.18,10367.41,10488.07,NaN,NaN
1075732200,10487.78,10753.63,10434.67,10583.92,NaN,NaN
1078151400,10582.25,10695.55,10007.49,10357.7,NaN,NaN
1080829800,10357.52,10570.81,10219.18,10225.57,NaN,NaN
1083591000,10227.27,10386.32,9852.19,10188.45,NaN,NaN
1086096600,10187.18,10487.54,10134.86,10435.48,NaN,NaN
1088688600,10434,10448.09,9913.92,10139.71,NaN,NaN
1091453400,10138.45,10211.25,9783.91,10173.92,NaN,NaN
1094045400,10170.12,10363.36,9977.92,10080.27,NaN,NaN
1096637400,10082.04,10270.37,9708.4,10027.47,NaN,NaN
1099319400,10028.73,10602.85,10010.15,10428.02,NaN,NaN
1101911400,10425.8,10868.07,10418.63,10783.01,NaN,NaN
1104762600,10783.75,10867.39,10368.61,10489.94,NaN,NaN
1107268200,10489.72,10853.43,10489.64,10766.23,NaN,NaN
1109687400,10769.04,10984.46,10396.24,10503.76,NaN,NaN
1112365800,10504.57,10568.93,10000.46,10192.51,NaN,NaN
1115040600,10192,10560.81,10075.55,10467.48,NaN,NaN
1117632600,10462.86,10656.29,10253.49,10274.97,NaN,NaN
1120224600,10273.59,10717.73,10175.4,10640.91,NaN,NaN
1122903000,10641.78,10719.41,10349.37,10481.6,NaN,NaN
1125581400,10481.44,10701.81,10350.96,10568.7,NaN,NaN
1128346200,10569.5,10608.56,10156.46,10440.07,NaN,NaN
1130855400,10437.51,10959.79,10388.76,10805.87,NaN,NaN
1133447400,10806.03,10940.34,10709.42,10717.5,NaN,NaN
1136298600,10718.3,11047.76,10661.15,10864.86,NaN,NaN
1138804200,10862.14,11159.18,10737.67,10993.41,NaN,NaN
